,Company,Client,Location,Date,Contract
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726320.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Casing Typa & No. Dapth(M) Progress 11TH  JOB NO C 7796 BORING METHOD SPT N value or COHESION  LOCATION  BOREHOLE NO TP12 Shaet:  EDWARD BOYLE LIB. LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  1 0.0 0.60-,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726321.png,CLIENT BSC.P DATE AUGUST 1995 Drilling * Cosing Type & No. Dapth(M) Progress 1TTH  JOB NO C 7796 BORING METHOD SPT N value or COHESION  BOREHOLE NO TP13 Shest:  EDWARD BOYLE LIB. - LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  1 0.0  OD,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726314.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Progress Casing Type & No. Depth(M) 1TTH  JOB NO C 7796 BORING METHOD SPT N - value or  LOCATION  BOREHOLE NO TP 6 Sheet: 1 0.0 0.30- 1.20-  EDWARD BOYLE LIB. LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  OD,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726312.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Casing Typa & No. Depth(M) Progress 1TTH  JOB NO C 7796 BORING METHOD SPT N value or COHESION  LOCATION  BOREHOLE NO TP 2 Sheat: LEGEND DEPTH  EDWARD BOYLE LIB. - LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  1 0.0 0.40- 1.00,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726317.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Progress Casing Typa a No. Dapth(M) 1TH  JOB NO BORING METHOD SPT N value or COHESION  LOCATION  BOREHOLE NO TP 9 Sheat: 1 LEVEL LEGEND DEPTH 0.0 0.85-  C7796 EDWARD BOYLE LIB. LEEDS UNI. MECHANICAL EXCAVATOR (JCB-TYPE  SCALE 1to 50 SAMPLE/TEST  OD  TOPSOL on MADE GROUND-Frogmented brick stone & rubble fill Firm to stiff brown &c grey mottled fine stoned BOULDER CLAY,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726311.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Casing Typa & No. Dapth(M) Progress 1TTH 1TTH  JOB NO C 7796 BORING METHOD EXCAVATED BY HAND SPT N value or COHESION  LOCATION  BOREHOLE NO TP 1 Sheet:  EDWARD BOYLE LIB. - LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  1 0.0 0.56 0.80-  OD,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726319.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Progress Cosing Type & No. Depth(M) 1TH  JOB NO C 7796 BORING METHOD SPT N value or COHESION  LOCATION  BOREHOLE NO TP11 Sheat: LEVEL LEGEND DEPTH  EDWARD BOYLE LIB. LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  MECHANICAL EXCAVATOR (JCB-TYPE  1 0.0 0.30-,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 15260594.png,"Borehole No. 6  Norwest Holst Soil Engineering Ltd.  Contract No.F8455 Client..  BOREHOLE LOG  Location.. West Street. Leeds. Method of Boring.. Rercussion/Rotary Core Diameter of Borehole. 150mm/110mm.  Sheet...o.f.... Chainage.. Ground Level.. 32.284 Date... 12.6.89  A.W.I. Partnership.  m.A.O.D. ""N""/ Daily R.Q.D.% Progress",,,... 12.6.89,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 15260588.png,"Borehole No. 2  Norwest Holst Soil Engineering Ltd.  Contract No.F8455 Client.  BOREHOLE LOG  Location.. West Street. Leeds Method of Boring.. Percussion/Rotary Core Diameter of Borehole.150mm.  Sheet....of..... Chainage.. Ground Level...34.586. Date..... 15..6.89.  A. W... T. Partnership  m.A.O.D. ""N""I Daily R.Q.D.% Progress 43",,,..... 15..6.89.,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 13972222.png,,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 15260590.png,"Borehole No. 4  Norwest Holst Soil Engineering Ltd.  Contract No.. F8455 Location.. West Street, Leeds Client. Method of Boring.. Percussion/Rotary Core Diameter of Borehole..150mm.  BOREHOLE LOG  Sheet.. 1.0f.1. Chainage.. Ground Level.. 33.674 14.6.89 Date.... Sampling and Coring 0.50  A.W.T. Partnership  m.A.O.D. ""N""I Daily R.Q.D.% Progress 23  Depth O.D. Casing Legend Below Level Depth at G.L.(m) (m) Sampling 0.10 33.60",. ,".. West Street, Leeds ",.... Sampling and Coring 0.50, No.. F8455 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 15260585.png,"Norwest Holst Soil  Ltd.  Borehole No. 1  Engineering  Contract No.F8.455.. Location.... West. Street.. Leeds.. Client., Method of Boring.. Percussion/Rotary Core Diameter of Borehole.150/110.  BOREHOLE LOG  Sheet...o... Chainage.. Ground Level... 34.077 Date.... 14/6/89  A.W.T. Partnership.","., ",.... West. Street.. Leeds.. ,.... 14/6/89, No.F8.455.. 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857327.png,"Trial Pit No. 11  Norwest Holst Soil Engineering Ltd.  Contract No.  F.4.416..  TRIAL PIT LOG  Location BDC Gelderd Road, Client John. erunton.ene.Partners Excavation Plant Hymac. 580c Dimensions (I: X bx h) 2..00X2.0X3.9  Chainage Date  Ground Level .5.0..9... m.A.O.D.",," BDC Gelderd Road, ",,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 15260589.png,"Borehole No. 3  Norwest Holst Soil Engineering Ltd.  Contract No..F8455. Client.  BOREHOLE LOG  Location. West. Street.. Leeds. Method of Boring... Percussion/Rotary Core Diameter of Borehole.. 150mm  Sheet.. 1 ..of... 1 Chainage.. Ground Level... 34.176 Date.... 15.6.89  A.W.T. Partnership  m.A.O.D. ""N""I Daily R.Q.D.% Progress 8",,,.... 15.6.89,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857326.png,Trial Pit No. 10  Norwest Holst Soil Engineering Ltd.  Contract No. F4416 Location  BDG Gelderd Road  TRIAL PIT LOG  Client John.Brunton.and.Partners Excavation Plant HYMAC..380C. Dimensions (I X bx h) ELEVATIONS:  Chainage Date  Ground Level 50.00 m.A.O.D.,,,, No. F4416 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726310.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Cosing Typa & No. Depth(M) Progress 1TH B1 U2 S3 B 4 C5  JOB NO LOCATION C 7796 BORING METHOD CABLE PERCUSSIVE SPT N value or COHESION  BOREHOLE NO BH 2 Sheat: 1 0.0 0.75- 1.30-  EDWARD BOYLE LIB. - LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  OD  DESCRIPTION  LEVEL LEGEND DEPTH,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 18726309.png,CLIENT BSC.P DATE AUGUST 1995 Drilling & Progress Casing Type & No. Depth(M) 1TTH  JOB NO BORING METHOD CABLE PERCUSSIVE SPT N value or COHESION  LOCATION  BOREHOLE NO BH 1 Sheat: 1 LEVEL LEGEND DEPTH 0.0 0.70-  C7796 EDWARD BOYLE LIB. LEEDS UNI.  SCALE 1to 50 SAMPLE/TEST  OD  B4 U2 S3,,,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857317.png,Trial Pit No. 1  Norwest Holst Soil Engineering Ltd.  Contract No. Location BDC Gelderd Road Client John Brunton and Partners Excavation Plant HYMAC. 58.0C. Dimensions (I xbxh) 3.0 X. 2.0 X 3.0 m ELEVATIONS-  E4.4.1.6.  TRIAL PIT LOG  Chainage Ground Level 49..4. Date 40stober... .1979.. PLAN (Not to scale)  m.A.O.D.  0.00 0.30 0.80 2.30 3.00,, BDC Gelderd Road , 40stober... .1979.. PLAN (Not to scale), No. 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093931.png,"IVLJI & - LID. SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSIL5SX.  5 32418 222 SEX35E12762. R C 119.7 36148 6.2.70 e m.C % ib/cu.ft. N  Contract No. L3232/F1437  Borehole No. Ground Level. Date.  Location Client.  Cattle. Market - Leeds. Westminster. Design_Agsociates,  BOREHOLE LOG Legend Depth below Thickness Type of  STRATA",., Client.,.,No. L32
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857311.png,Borehole No. 5  Norwest Holst Soil Engineering Ltd.  Contract No.. Client.. Method of Boring. Diameter of Borehole.  F4416 Rotary 75mm  BOREHOLE LOG  Location. BDC. Cabinets Leeds.  Sheet.. 1..of.. 1 Chainage.. Ground Level.. Date.. 24-10-79  John Brunton & Partners,.. ,,.. 24-10-79,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12611344.png,"BOREHOLE RECORD  1894/86  Contract No. Ground Level BOREHOLE No. 2  Client Location Date.  Alan Blunt, Consulting Engineers Cardigan Mills Site, Leeds February, 1987  Depih 0.200 0.950  Thick- ness Legend 0.200 0.750  Description of Strata Made up ground compact stone Made up ground - loose gravel --0.750",,,.,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857318.png,"Trial Pit No. 2  Norwest Holst Soil Engineering Ltd.  Contract No. Location  F4416 BDC Gelderd Road  TRIAL PIT LOG  Client SuJohn. Brunton. and. Partners Excavation Plant HYMAC 380C Dimensions (Ixbxh) 3.0 X 2.0x 3.2  Chainage Ground Level 48..2.. Date 12Eh.9859BeE,.1879. PLAN (Not to scale)  m.A.O.D.",,," 12Eh.9859BeE,.1879. PLAN (Not to scale)", No. 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12611343.png,"BOREHOLE RECORD  Contract No. 1894/86 Client  Alan Blunt, Consulting Engineers  Ground Level BOREHOLE No. 1  Location Cardigan Mills Site, Leeds  Date.  February, 1987  Depth",,,.,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857309.png,"Borehole No. 3  Norwest Holst Soil Engineering Ltd.  Contract No. Location... BDE.Cabingta..eede. Client. John Brunton & Partners Method of Boring. Diameter of Borehole... 1.5mm...  F4416. Rotary  BOREHOLE LOG  1 Sheet.. .of. Chainage. Ground Level. Date.. 24..1.0.7.9..  1 50.0  m.A.O.D. ""N""I Daily R.Q.D.% Progress",. John Brunton & Partners ,... BDE.Cabingta..eede. ,.. 24..1.0.7.9.., No. 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12611345.png,"BOREHOLE RECORD  Contract No. Ground Level BOREHOLE No. 3  1894/86  Client Location Date.  Alan Blunt, Consulting Engineers Cardigan Mills Site, Leeds February, 1987  Depth 0.100  Thick- ness Legend 0.100 1.100 1.000 X 0.700 0.500  Description of Strata",,,.,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093922.png,IVLJI &  LID. SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSII5SX.  29326 - 32426 SE23E12753. Borehole No.R4 Ground Level. Date.  oH  Contract No.. SL3232/F1437  Location Cilent.  Cattle. Market. L Leeds Westminster. Design Associates.  129.4 27.4  BOREHOLE LOG Legend Depth below Thickness Type of C Ground Level of Strata Sample Ib/sq.ft. deg.,, Cilent.,.,No.. SL
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 12857325.png,Trial Pit No.  Norwest Holst Soil Engineering Ltd. 4 9  Contract No. ... F4.4.16.. Location BDC Gelderd Road Client John Brunton and Partners Excavation Plant HYMAC 580C Dimensions (Ix bxh h) ELEVATIONS:  TRIAL PIT LOG  Chainage Ground Level ..42.9.. Date 18/.10/7.9.  m.A.O.D.  3.0 X 1.0 X 1.5m  0.00 0.40,, BDC Gelderd Road , 18/.10/7.9., No. ... F4.4.16.. 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093783.png,"TUI WGOI a - IVIDI OI Engmeering LTQ.  6  Contract No.... F7687 Location. Leeds Duncombe St. Client. Method of Boring.Pergussign. Diameter of Borehole.. 150mm  BOREHOLE LOG 5E136E 12600 99121 55110  Sheet..1..of...1. Chainage. Ground Level..33..65. Date... 1/10/87 2/10/87  Leeds...C..  m.A.0.0. ""N""I Daily R.Q.D.% Progress  Depth O.D. Casing Legend Below Lavel Depth at G.L.(m) (m) Sampling",. ,. Leeds Duncombe St. ,... 1/10/87 2/10/87, No.... F7687 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093851.png,Burchole No. 5  Molst Soil I Enginooring Limitod ti  BOREHOLE LOG  Contract No. ST.2558(F.3268. Mothod of Boring...Rexcussigo. Diameter of Borehcie  Location Client.  Oldfield Lane Leeds Metropoliran 150mm  Sheot. 1..of.. 1 Ground Level Late. 8 of C m.C.  District,, ,,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093781.png,Ur enuie  Norwest Holst Soil Engineering Ltd.  Contract No....FE.7.6.87. Client.  BOREHOLE LOG 5E335E12548 9209 333699  Location.... Leeds. Duncombe.Stregt Method of Boring..Parrussion. Diameter of Borehole.... 150mm..  Sheet....of...1. Chainage.. Ground Level... 5710787 Date..  Leeds.....  34.13 Sampling and Coring 0.80,,,..,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093909.png,"MVLSI & LU. LIU. SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSII5SX.  32443 23528 5E235E/2740  Contract No.13232/F1437  Borehole NoS2/not 02). Ground Level. Date.  Location Client.  Cattle Market - heeds.a Wes.tmins.ter. Design. Associates.  120.9 36-25 6...2.70... m.C % Ibjcu.fe N  BOREHOLE LOG Legend Depth below Thickness Type of C Ground Level of Strata Sample Ib/sq.ft. deg. 0'6"" 0'6"" 0'9"" 0'3"" 1'6""",., Client.,.,No.1323
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093915.png,"IVLJI & LU. LID. SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSII5SX.  78302 SE2356/2746.  32479 S8 126.2 38.01, 10.2.70 o m.c % Ib/cu. ft. N  Contract No.13232/F1437  Borehole No. Ground Level. Date.  Location Client.  Cattle Market - Leeds Westminster Design Associates  BOREHOLE LOG Legend Depth below Thickness Type of C Ground Level of Strata Sample Ib/sq.ft. deg.",., Client.,.,No.1323
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093916.png,"NVLJI & LU. LID. SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSII5SX.  28345 32457 SE255E12747  Contract No.. 13232/F1437.  Borehole No. Ground Level. Date.  S9 125.0 3e im 9...2...7.0... m.C %. Ib/cu.ft. N 33.3 120  Location Client.  Cattle.Market. : Leeds. Westmins.ter. Design. Associates.  BOREHOLE LOG Legend Depth below Thickness Type of C Ground Level of Strata Sample Ib/sq.ft. deg. 1'0"" 6 "" 1'6""",., Client.,.,No.. 13
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093917.png,&  . LID.  29038 3248 SE23SE)2748 129.4 39.u4m 9.2.70. a m.c % lbicduite N  SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSII5SX.  Contract No. F3232/F1437  Borehole No. S10 Ground Level. Date.  Location Client.  Cattle Market - Leeds. Westminster Design Associates.,., Client.,.,No. F32
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093920.png,MULSI & CO. LTD. SITE INVESTIGATION DEPT. PARKSIDE LANE LEEDS LSII5SX.  587132126 2751  SE23SE Borehole No. R2 Ground Level. Date.  02 (not s2) 19.0 26-7  Contract No.13232/F1437  Location Client.  Gattle. Market. - Leeds. Westminster. Des.ign. Associates.  BOREHOLE LOG,., Client.,.,No.1323
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093782.png,"Norwest Molst Joil Engineering Ltd.  5  Contract No.E.Z687. tmmmn.isth.Dpcsme.staet Client.. Leeds C.C Method of Boring.. Diameter of Borehole.. 150mm.  BOREHOLE LOG E235E12599 791158 33691  Sheet........ Chainage.. Ground Level.. Date.. 5/10/87.  Percussion Description of Strata  32.94 Sampling and Coring  m.A.O.D. ""N""I Daily R.Q.D.% Progress",.. Leeds C.C ,,.. 5/10/87.,
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 10093780.png,"ivorwesi I - JOIST JOII Engineering LTa.  3  Contract No.....FZ.682.. Location.... Leeds.Duncomba.5.t. Client. Leeds..... Method of Boring.. Diameter of Borehole.  BOREHOLE LOG 5E13567594 29226 33724  Sheet........ Chainage. Ground Level.. 35.29 Date.. 1/10/87  Percussion. 150mm Description of Strata  m.A.O.D. ""N""I Daily R.a.D.% Progress  Depth O.D. Casing Legend Below Level Depth at G.L.(m) (m) Sampling",. Leeds..... ,.... Leeds.Duncomba.5.t. ,.. 1/10/87, No.....FZ.682.. 
/content/drive/MyDrive/datasets/predict_images/raw_images/Copy of 20250116.png,"Dunelm Geotechnical & Environmental  Bleach Green, Hetton le Hole, Tyne & Wear, DHS 9HH TEL:01915262534 FAX: 0191517 0085 E-Mail: enquines@dumem.cauk  Record of Borehole Easting Northing Ground level 84.30 Final depth 2.20  TP15 Start date 09/05/2000 End date 09/05/2000 Backfill date 09/05/0200 Page  Job No. : C10452 Equipment: JCB Type Site Name : Leeds Unviversity, Innovation  of 1 Level Inst/ Back fill 83.95 83.45 82.50 82.10  Samples & Testing Cu kN/m2  Depths From To",,,,
